Timestamp	Date (Beginning of night)	Submitted by	Also Present	Weather types experienced 	Beginning of night seeing	Middle of night seeing	End of night seeing	Hours observing	Hours spent doing ToO	Hours spent engineering	Hours lost to system failures	Hours lost to weather	Disposition of night	Additional comments	System Failures Experienced	Program used	Do the LN2 tanks need to be refilled?
6/2/2014 5:34:19	140601	Jackie Seron		clear	1.3	1.4	1.3	11	0	0	0	0	everything worked well	Photometric program mostly completed Clear skies but RASICAM showed thin clouds  IC only failed once  Despite doing pointing as usual the coordinates  are not in the center for some images in the  optical filters, in general they are shifted  to the East.  2014 HS184_2: IC stopped writing data. Pointing error, wrong coordinates. I'm so sorry.  HS184_4 wrong filename LUNCH HS184_4  V849 Oph wrong pointing. I must have confused  the  YBSC with another star.	IC computer froze	Photometric	No
6/3/2014 6:22:24	140602	Jackie Seron		clear, thin clouds, strong winds	1.2	1.4	1.4	12.5	0	0	0	0	minor technical problems	Engineering night. Program mostly completed.//  At the beginning of the night the new IC computer  didn't worked: it sent an error with the TCS, also Caliban would not start and therefore Prospero wouldn't start. Javier intalled the old IC-PC and startup worked.//  sn2010jl: IC stopped writing data twice. NO guiding star.          seeing 1.1. //  Some objects skipped to keep up with the program.//  I exchange the order of V4641 and V745 Sco so I would  save one pointing with a YBSC.//  Floppy disks inserted back to IC and IR //  ******FAVOR RELLENAR TANQUE DE NITROGENO*****	IC computer froze	Nonphotometric	Yes
6/4/2014 3:25:38	140603	Jackie Seron		overcast, strong winds, rain, snow, high humidity	n/a	n/a	n/a	0	0	0	0	11.5	minor technical problems	Javier and myself had the system startup with the new WC PC at the beginning of the night, took a few biases and all data was written, however ANDICAM computer froze after opening the web browser (which it had never happen to me), we'd reset it and sync back the computers and took a couple of biases without problems.  No observations. Dome was not open because of weather: high humidity, overcast, rain and snow!		Nonphotometric	No
6/5/2014 4:08:43	140604	Jackie Seron		overcast, partial overcast, high humidity	n/a	n/a	n/a	0	0	0	0	11.5	everything worked well	No observations due to weather conditions: overcast at the beginning of the night, above dew point limit and high humidity all night. Manuel Hernandez also checked the GONG station and its values were in agreement with the CTIO environmental webpage.//  No calibrations taken because of high humidity (above 98% all night).		Nonphotometric	No
6/6/2014 5:23:37	140605	Fernando Cortes		clear	3	1.9	1.9	11	0	0	0.5	0	minor technical problems	Prospero stopped responding one time and IC continued with usual writing problem. Was need restart the computers.  Bad seeing at begin of night, due to difference of temperature (dome closed for calibrations).  OB140953: Extra observation for Gould program.  Incomplete targets: BVRI-J Dome, ASSASN-14az and PHR1408-6106 (coordinates was next to the limits of telescope).  Gracias A. Miranda por su ayuda.	IC computer froze, Failure with Prospero	Photometric	No
6/7/2014 3:13:35	140606	Fernando Cortes		overcast, rain, high humidity, cloudy	n/a	n/a	n/a	0.5	0	0	0.5	11.5	minor technical problems	The rain started with high humidity. Was impossible to open the dome.  No observations!  Prospero stopped responding at beginning of the night (Gracias a D. Rojas por solucionar el problema).	Failure with Prospero	Nonphotometric	No
6/8/2014 5:36:16	140607	Fernando Cortes		overcast, partial overcast, thin clouds, high humidity, cloudy	2.5	2.2	2	10	0	0	0.5	3	minor technical problems	* IC computer did not write data for biases (ccdbias.obs)  * The observations started a little late due to high humidity (were taken domej.pro).  * Prospero stopped responding (at LST 20:50). After to restart (the restart of prospero computer is slow), the sky was overcast.  *Many targets skipped due to weather conditions (high humidity and ovaercast).	IC computer froze, Failure with Prospero	Nonphotometric	No
6/9/2014 5:09:56	140608	Fernando Cortes		clear, thin clouds	2	1.4	1.6	11	0	0	1	0	major technical problems	-> Prospero stopped responding six times! Affecting to Wasp19, 3C279, 1424-41, WYSge and ASASSN-14az. Was restarted in each opportunity (10 minutes missed for each restart!)   ->  IC computer did not write data for V4641 (v4641q.pro)  -> Skipped targets: sn2010jl_RIJ, 1510-089, 1931+0938, Q2033-47 and 3C454.3  -> sn2010jl_RIJ: The script stopped responding. The subscripts sn2010jl_IJ and sn2010jl_RJ no were encountered to download.  PR% call sn2010jl_RIJ.pro  ** I/O Error: Cannot open template file /home/observer/ObsPars/sn2010jl_IJ.obs  ** Reason: No such file or directory  Error loading the observation template file.  Subroutine stack Line number:  PROSPERO                0  sn2010jl_RIJ.pro       10  Execution error in line  10  Command: obsgo sn2010jl_IJ  ftp> get  sn2010jl_IJ local: sn2010jl_IJ remote: sn2010jl_IJ 227 Entering Passive Mode (128,36,139,122,72,89) 550 Failed to open file.  ftp> get sn2010jl_RJ local: sn2010jl_RJ remote: sn2010jl_RJ 227 Entering Passive Mode (128,36,139,122,74,253) 550 Failed to open file.   	IC computer froze, Failure with Prospero	Nonphotometric	No
6/10/2014 5:41:41	140609	Fernando Cortes		clear, partial overcast, thin clouds	1.3	1.5	1.4	11.5	0	0	0.5	0.5	minor technical problems	* Prospero stopped responding four times! Affecting to sn2010jl, V1280 Sco and NSgr2012. * IC computer (or WC?) did not write data (usual problem).   * Skipped targets: GX339-4, 1709-2348 and V745 Sco. *  Some exposures could present problems due to clouds during the night (e.g. no guiding star).	IC computer froze, WC computer froze, Failure with Prospero	Nonphotometric	Yes
6/11/2014 2:38:06	140610	Fernando Cortes		overcast, partial overcast	1.4	n/a	n/a	3	0	0	1	7	major technical problems	Prospero stopped responding many times and IC computer (or WC?) did not write data (usual problems!). Affecting to targets and calibrations.  The sky is overcast during many hours and will continue. The weather forecasts tell about high probabilities to rain during the week.  Several skipped targets.	IR computer froze, IC computer froze, WC computer froze, Failure with Prospero	Nonphotometric	No
6/11/2014 19:49:52	140611	Fernando Cortes		overcast	n/a	n/a	n/a	3	0	0	0.5	11.5	minor technical problems	Due to bad weather conditions only were taken calibrations during the afternoon (ccdbias.obs, domebvri.pro and domej.pro).  Prospero stopped responding and IC computer (or WC?) did not write data (usual problems). The calibrations were completed by observe command.  No observations during the night. 	IC computer froze, Failure with Prospero	Nonphotometric	No
6/13/2014 13:29:47	140612	Jackie Seron		partial overcast, high humidity	n/a	n/a	n/a	0	0	0	0	11.5	everything worked well	No observations because there was snow in the domes and the mechanical system would be forced. Also there was high humidity during the first part of the night so no calibrations were taken. 		Nonphotometric	No
6/14/2014 6:01:03	140613	Jackie Seron		clear, thin clouds	2.3	2	1.6	10	0	0	2	0	major technical problems	Many thanks to Claudio Aguilera who clean up the snow from the dome.//  Late start due to problems with the computers,  IC did not write the data a couple of times,  The following happend twice at the beggining of the night: WC frozed saying in the status something like  FITS WRITING DATA HEADER, when this happened Prospero frozed followed by ANDICAM computer (the latter takes  quite sometime to reboot).//  No guiding star for RXJ1131, 1553+113, ASASSN-14az //  During N Cen 2013 Prospero said WARNING:  Telescope  controller not responding: WC took a while writing  the header status and the last ccd image filename  is wrong it ccdfoco.0003.//  ANDICAM PC stopped responding while observing 1424+41, OB140962, Ndel2013 and ASASSN-14az.//  Some targets skipped to catch up with the program.//  Last time I reboot ANDICAM PC when I open a terminal I got the following message:     Traceback (most recent call last):   File "/home/observer/JoshBloom/grb-watchd/bin/grb-watchd", line 1123, in ?     startstop(stdout=logfile,startmsg='',myaction='')   File "/home/observer/JoshBloom/grb-watchd/bin/grb-watchd", line 189, in starts top     rez = watch_listen(PORT)   File "/home/observer/JoshBloom/grb-watchd/bin/grb-watchd", line 171, in watch_ listen     r.update({'pid': int(ttt.split('/')[0])}) ValueError: invalid literal for int(): 10bc-0-50007a883b4//	IC computer froze, WC computer froze, Failure with Prospero	Nonphotometric	No
6/15/2014 5:42:54	140614	Jackie Seron	JRojas &HOrrego	thin clouds	1.2	1.3	1.4	9.5	0	0	2.5	0	major technical problems	IC and IR stopped writing data and then ANDICAM PC failed, ANDICAM PC frozed again while observing SDSS1322 and it would  not reboot, it got stucked and in the monitor it reads://  */contains a file system with errors, check forced */: Unattached inode 64897 UNEXPECTED INCONSISTENCY; run fsck MANUALLY    (i.e., without -a or -p options)      FAILED  ***An error ocurred during the fle system check ***Dropping you to a shell; the system will reboot ***When you leave the shell Give root password for maintenance   (or type Control-D to continue) // Javier came to assist, tried an old root pasword that didn't work,  Humberto came too, the password had a small error,  and he did a fsck -y and it worked.  OB141021, second observation late. Several targets skipped  to keep up with the program.//  ANDICAM PC also failed while observing V745 Sco and the  first observation for 3C454.3. Before ANDICAM PC failed I've  noticed Caliban and/or Prospero and/or WC froze.//  ***FAVOR RELLENAR TANQUE CON NITROGENO. GRACIAS***	IR computer froze, IC computer froze, WC computer froze, Failure with Prospero	Nonphotometric	Yes
6/16/2014 6:59:27	140615	Jackie Seron		thin clouds	1.3	1.3	1.3	11.5	0	0	0	0	major technical problems	Non photometric program incomplete. IC and IR stopped writing data sometimes. ANDICAM PC froze while observing SDSS1226, Q1355, XTE J1550-564, V4641, OB140471,  OB140494.//  No guiding star for 3C279//   Some targets skipped to catch up with the program.//  N Oph 2008 not observed no script NOph2008.pro and it  was not available in the ftp server//  OB140650 last observation repeated because  guiding was off.// 	IR computer froze, IC computer froze, WC computer froze, Failure with Prospero	Nonphotometric	Yes
6/17/2014 5:25:15	140616	Jackie Seron	Javier Rojas	thin clouds	1.1	1.2	1.2	9	0	0	2.5	0	major technical problems	Non photometric program incomplete due to problems  with computers: IC, IR, WC and specially ANDICAM PC. and the cherry on the cake the dome failed.//  While doing focus IC, IR, WC agreed on freezing all  together.//  Prospero frozed for LCar, 1057-6027, N Sgr 2014  IC stopped writing data for N Cen 2013 (repeated) and PHR1418-5144 (twice incomplete)//  IR stopped writing data for GX339-4, 2155-304//  ANDICAM-PC frozed for LCar R, Luhman16, 1550-242, OB140099, before WYSge, V1017 Sgr, 2155-304//  At midnight, the dome stopped moving, I went to  check it and it sounded forced, I stopped it, and  call Javier who came and saved the night, The motor  was out of the rail, one setscrew was out of the  support mechanism.//  Targets skipped to catch up with the program.//	IR computer froze, IC computer froze, WC computer froze, Dome Failure (shutter/motor/tracking) 	Nonphotometric	No
6/18/2014 5:22:27	140617	Jackie Seron	Javier Rojas	thin clouds	n/a	1.2	1.3	5.5	0	5.5	0.5	0	minor technical problems	Engineering during the first part of the night,  Javier Rojas helped me. We performed the  pointing map test following the instructions  given by Rolando Cantaruti.  After a few pointings of the test the drivers  went off, it was because the test sent the  telescope to a position beyond its limits, the telescope said "Pole TRACK" The coordinates were RA 20:45 DEC -66:12 and UT 00:50 LST 13:50. // We called Rolando, he instructed me to browse  the files in the TCS in search for the file  that contains the coordinates for the object  of the grid, back it up and edit it,   would contain only coordinates within the limits.  We looked and looked and found a file called  flex2000.pcf but we could not edit it.  We copied it and Javier has it in a floppy disk. // After this, TCS pointing was lost, it's a mistery  to me why this happened, Javier helped me to find it  and I started the program around UT 3:30 // On the bright side ANDICAM-PC, IC,  WC  didn't failed tonight  (Javier installed back the old WC  during the day.  IR did froze right before observing 3C454.3 //	IR computer froze	Nonphotometric	No
6/19/2014 5:23:36	140618	Jackie Seron		thin clouds	1	1.1	1.2	11.5	0	0	0	0	everything worked well, minor technical problems	Program completed!!! IC failed only once :) It was a great night! // A couple of times I saw the following warning in Prospero and IR [IR> WARNING: Telescope controller not responding.] // IC stopped writing data for 2014KS40_1, script took longer too. The script NEOexp20sx2.pro takes  around 40minutes I edited and copied it as  NEOexp20sx1.pro that takes around 20 minutes. // 2014KS40_2 late start (7 minutes) interrupted to  proceed to the third pointing.//	IC computer froze	Nonphotometric	No
